address of overloaded,2
array subscript,2
array type TOK,15
conflicting types,45
expected TOK,28
i-th,1
invalid operands,2
label at,1
member reference,5
pointer cannot,1
subscripted value,23
too many/few,1
unknown type name TOK,1538
use of undeclared identifier,1826
using declaration,1
assigning to TOK,1
function cannot,1
operand of type TOK cannot,3
operand of type TOK where,1
subscript of pointer,2
unexpected type,4
reference to,1
